Country,1990,2000,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,..,7.9,7.9,7.9,9.0,10.1,11.2,11.1,11.1,11.7,12.1,14.1
Albania,..,19.0,15.9,18.1,17.2,15.4,13.6,12.3,11.5,12.8,12.6,11.6
Algeria,..,29.8,9.8,10.2,11.2,10.2,12.0,12.1,12.3,14.0,13.7,12.5
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..
Angola,..,16.6,16.4,16.3,16.4,16.6,16.6,16.6,16.5,16.7,15.8,14.5
Antigua and Barbuda,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,..,15.0,7.1,7.3,7.6,8.1,8.4,9.2,9.8,11.5,8.7,6.8
Armenia,..,11.0,11.7,12.0,12.3,12.6,12.9,13.2,12.2,12.2,10.0,8.6
Aruba,..,..,..,..,..,..,..,..,..,..,..,..
Australia,..,6.3,5.7,6.1,6.1,5.7,5.6,5.3,5.2,6.5,5.1,3.7
Austria,..,4.7,5.4,5.7,5.8,6.1,5.6,4.9,4.6,5.2,6.5,5.0
Azerbaijan,..,11.8,5.0,4.9,5.0,5.0,5.0,4.9,5.0,7.2,6.0,5.7
"Bahamas, The",..,7.2,16.2,13.8,12.0,12.7,9.8,10.0,9.9,12.6,11.6,10.1
Bahrain,..,1.1,1.2,1.1,1.2,1.2,1.2,1.2,1.2,1.8,1.5,1.3
Bangladesh,..,3.3,4.4,4.4,4.4,4.4,4.4,4.4,4.4,5.3,5.2,4.3
Barbados,..,9.4,11.6,12.2,9.8,8.3,8.6,8.3,8.4,9.7,9.5,8.5
Belarus,..,12.2,5.9,5.9,5.9,5.8,5.7,4.8,4.2,4.1,3.9,3.6
Belgium,..,6.6,8.4,8.5,8.5,7.8,7.1,6.0,5.4,5.6,6.3,5.6
Belize,..,10.8,8.4,8.2,7.6,7.0,6.6,7.9,9.1,10.6,10.2,8.7
Benin,..,0.9,2.0,1.8,1.8,1.8,1.7,1.5,1.4,1.6,1.8,1.5
Bermuda,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,..,1.7,2.9,2.6,2.5,2.7,3.0,3.4,2.7,5.0,4.8,6.0
Bolivia,..,2.4,2.4,2.0,3.1,3.5,3.7,3.5,3.7,7.9,5.1,3.6
Bosnia and Herzegovina,..,25.5,27.5,27.5,27.7,25.4,20.5,18.4,15.7,15.9,14.9,12.7
Botswana,..,15.9,18.1,18.4,18.9,19.3,19.7,19.6,20.1,21.0,23.1,23.6
Brazil,..,10.9,7.1,6.8,8.5,11.6,12.8,12.3,11.9,13.7,13.2,9.2
British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,..,5.6,6.8,6.9,7.7,8.5,9.3,8.7,6.6,7.4,4.9,4.5
Bulgaria,..,16.2,12.9,11.4,9.1,7.6,6.2,5.2,4.2,5.1,5.3,4.3
Burkina Faso,..,2.7,4.1,4.3,4.5,4.7,4.7,4.7,4.7,5.1,5.4,5.1
Burundi,..,3.3,1.6,1.6,1.5,1.4,1.3,1.1,1.0,1.0,1.1,0.9
Cabo Verde,..,13.0,11.4,11.7,12.0,12.1,12.2,12.2,12.1,14.6,14.1,12.4
Cambodia,..,0.8,0.4,0.7,0.4,0.7,0.1,0.1,0.1,0.2,0.4,0.2
Cameroon,..,7.5,3.7,3.5,3.5,3.5,3.6,3.6,3.7,4.0,4.1,3.8
Canada,..,6.8,7.1,7.0,7.0,7.0,6.4,5.8,5.7,9.7,7.5,5.3
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,..,5.7,5.7,5.8,6.0,6.1,6.1,6.0,6.1,6.7,6.8,6.3
Chad,..,0.8,0.9,0.9,0.9,1.0,1.1,1.1,1.1,1.7,1.6,1.1
Channel Islands,..,5.4,8.6,8.4,8.0,7.5,6.9,6.4,6.3,6.7,6.7,6.0
Chile,..,10.5,6.2,6.7,6.5,6.7,7.0,7.2,7.3,10.9,9.3,8.3
China,..,3.3,4.6,4.6,4.7,4.6,4.5,4.3,4.6,5.0,4.6,5.0
Colombia,..,20.5,9.3,8.8,8.6,8.9,9.1,9.4,10.3,16.0,13.9,10.6
Comoros,..,4.3,4.7,4.8,4.9,4.9,4.9,4.9,4.9,5.8,5.9,5.7
"Congo, Dem. Rep.",..,3.4,4.5,4.4,4.4,4.6,4.7,4.7,4.7,5.5,5.5,4.7
"Congo, Rep.",..,19.9,19.9,19.7,20.3,20.7,21.2,21.3,20.8,22.7,22.6,20.5
Costa Rica,..,5.1,8.2,8.5,8.4,8.1,7.7,9.0,10.8,16.4,15.1,11.3
Cote d'Ivoire,..,4.9,4.3,3.2,2.5,1.9,3.3,2.8,2.4,2.6,2.7,2.5
Croatia,..,16.1,17.3,17.3,16.2,13.1,11.2,8.4,6.6,7.5,7.6,7.0
Cuba,..,5.5,3.3,2.7,2.4,2.0,1.7,1.7,1.2,1.4,1.4,1.3
